OBJECTID,FID,COUNT,AREA,MAX
1,0,3469,542031.25,57.35725784
2,1,3691,576718.75,27.74965858
3,2,9726,1519687.5,42.93768311
4,3,5990,935937.5,36.21879959
5,4,12540,1959375,39.62508392
6,5,4787,747968.75,39.56338501
7,6,6284,981875,39.77217102
8,7,6972,1089375,30.93564606
9,8,2349,367031.25,34.05939102
10,9,2603,406718.75,45.25553513
11,10,1377,215156.25,27.49176979
12,11,9175,1433593.75,35.82187653
13,12,7016,1096250,39.21747971
14,13,3592,561250,34.42750168
15,14,4885,763281.25,27.83473396
16,15,3930,614062.5,24.78446388
17,16,24534,3833437.5,47.90193939
18,17,2851,445468.75,31.99796486
19,18,12877,2012031.25,36.85766983
20,19,4415,689843.75,45.91265106
